S,E,I,R,D
0.8912436018377932,0.0022693628744921385,0.00684006579285679,0.09881354214444758,0.0008334273504102396
0.8901100749001588,0.0022682083748804746,0.006836617282719763,0.09994215300026896,0.0008429464419719653
0.8889771263763507,0.002267052711248347,0.006833165326126121,0.10107019485191772,0.0008524607343570837
0.8878447568512885,0.002265895880686366,0.006829709914527292,0.10219766713072853,0.0008619702227692759
0.886712966911358,0.0022647378802736393,0.006826251039342422,0.10332456926662553,0.0008714749024003264
0.8855817571444176,0.0022635787070773407,0.006822788691957991,0.10445090068811703,0.0008809747684300779
0.8844511281398038,0.002262418358152523,0.006819322863727285,0.1055766608222901,0.0008904698160263861
0.8833210804883379,0.0022612568305420775,0.006815853545969858,0.1067018490948051,0.0008999600403450732
0.8821916147823322,0.002260094121276771,0.006812380729971063,0.10782646492989012,0.0009094454365298813
0.8810627316155953,0.002258930227375308,0.006808904406981679,0.10895050775033535,0.0009189259997124244
0.8799344315834386,0.0022577651458443684,0.0068054245682176405,0.11007397697748733,0.0009284017250121405
0.8788067152826822,0.0022565988736786232,0.006801941204859811,0.11119687203124325,0.0009378726075362434
0.8776795833116607,0.0022554314078607114,0.0067984543080538236,0.11231919233004511,0.0009473386423796733
0.87655303627023,0.002254262745361192,0.006794963868909923,0.113440937290874,0.0009567998246250482
0.8754270747597721,0.0022530928831384746,0.006791469878502817,0.11456210632924413,0.0009662561493426145
0.8743016993832026,0.0022519218181387456,0.0067879723278715075,0.11568269885919709,0.0009757076115901976
0.873176910744976,0.0022507495472958872,0.0067844712080191265,0.11680271429329589,0.000985154206413152
0.8720527094510926,0.002249576067531395,0.006780966509912755,0.11792215204261905,0.000994595928844312
0.870929096109104,0.002248401375754301,0.0067774582244832186,0.11904101151675466,0.0010040327739039407
0.86980607132812,0.002247225468861102,0.006773946342624899,0.12015929212379439,0.0010134647365996799
0.8686836357188149,0.002246048343735687,0.006770430855195523,0.1212769932703275,0.0010228918119264995
0.8675617898934335,0.002244869997249266,0.006766911753015959,0.12239411436143476,0.0010323139948666465
0.8664405344657978,0.0022436904262603022,0.006763389026870011,0.12351065480068239,0.0010417312803895937
0.8653198700513135,0.002242509627614443,0.006759862667504217,0.12462661399011594,0.0010511436634519878
0.8641997972669763,0.0022413275981444467,0.006756332665627632,0.12574199133025413,0.0010605511389975978
0.8630803167313784,0.0022401443346701183,0.006752799011911631,0.12685678622008267,0.001069953701957263
0.8619614290647153,0.002238959833998233,0.006749261696989695,0.1279709980570481,0.00107935134724884
0.8608431348887919,0.0022377740929224637,0.006745720711457201,0.1290846262370514,0.0010887440697771506
0.8597254348270299,0.0022365871082233113,0.006742176045871216,0.13019767015444184,0.0010981318644339285
0.8586083295044735,0.002235398876668028,0.006738627690750284,0.13131012920201057,0.0011075147260977659
0.857491819547797,0.0022342093950105443,0.0067350756365742075,0.13242200277098437,0.00111689264963406
0.8563759055853108,0.002233018659991393,0.006731519873783836,0.13353329025101912,0.001126265629894959
0.8552605882469689,0.0022318266683376362,0.006727960392780851,0.13464399103019345,0.0011356336617193083
0.854145868164375,0.0022306334167627867,0.0067243971839275425,0.1357541044950023,0.001144996739932595
0.8530317459707897,0.0022294389019667325,0.006720830237546592,0.13686363003035035,0.001154354859346894
0.8519182223011373,0.002228243120635661,0.0067172595439208525,0.13797256701954552,0.001163708014760813
0.8508052977920132,0.00222704606944198,0.0067136850932931185,0.13908091484429247,0.0011730562009594362
0.8496929730816899,0.0022258477450442403,0.0067101068758659115,0.14018867288468584,0.001182399412714269
0.848581248810125,0.0022246481440870566,0.006706524881801243,0.1412958405192037,0.0011917376447831824
0.8474701256189675,0.002223447263201032,0.006702939101220393,0.14240241712470092,0.0012010708919103557
0.8463596041515653,0.002222245099002674,0.00669934952420368,0.14350840207640228,0.0012103991488262207
0.8452496850529724,0.002221041648094315,0.0066957561407902265,0.14461379474789587,0.001219722410247404
0.8441403689699555,0.0022198369070640343,0.00669215894097773,0.14571859451112626,0.0012290406708766704
0.8430316565510019,0.002218630872485571,0.006688557914722228,0.1468228007363876,0.0012383539254028643
0.8419235484463264,0.00221742354091825,0.006684953051937857,0.14792641279231675,0.0012476621685008527
0.8408160453078787,0.0022162149089068944,0.006681344342496622,0.14902943004588648,0.0012569653948314662
0.8397091477893504,0.002215004972981741,0.006677731776228152,0.1501318518623984,0.0012662635990414407
0.8386028565461828,0.0022137937296583606,0.006674115342919461,0.15123367760547607,0.0012755567757633582
0.8374971722355744,0.0022125811754375715,0.006670495032314701,0.1523349066370578,0.0012848449196155877
0.8363920955164879,0.0022113673068053542,0.006666870834114923,0.1534355383173897,0.0012941280252022256
0.8352876270496578,0.002210152120232768,0.006663242737977828,0.15453557200501866,0.0013034060871130355
0.8341837674975983,0.0022089356121758634,0.006659610733517518,0.155635007056785,0.0013126790999233881
0.8330805175246107,0.0022077177790755928,0.006655974810304248,0.1567338428278154,0.0013219470581942
0.8319778777967908,0.002206498617357727,0.006652334957864169,0.1578320786715156,0.0013312099564718736
0.8308758489820369,0.0022052781234327655,0.006648691165679083,0.1589297139395632,0.0013404677892882345
0.8297744317500575,0.002204056293695849,0.00664504342318618,0.16002674798190025,0.0013497205511604712
0.8286736267723788,0.0022028331245266685,0.006641391719777784,0.16112318014672597,0.001358968236591072
0.8275734347223528,0.002201608612289372,0.0066377360448010925,0.1622190097804893,0.0013682108400677627
0.826473856275165,0.002200382753332482,0.006634076387557917,0.1633142362278815,0.0013774483560634442
0.8253748921078424,0.0021991555439887975,0.006630412737304417,0.16440885883182854,0.001386680779036129
0.8242765428992616,0.002197926980575305,0.006626745083250838,0.16550287693348378,0.0013959081034288776
0.8231788093301561,0.0021966970593930847,0.006623073414561245,0.16659628987222017,0.001405130323669735
0.8220816920831254,0.002195465776727216,0.006619397720353251,0.16768909698562276,0.0014143474341716661
0.8209851918426424,0.0021942331288466862,0.006615717989697748,0.16878129760948105,0.001423559429332491
0.8198893092950614,0.002192999112004294,0.006612034211618633,0.16987289107778117,0.0014327663035348204
0.818794045128627,0.002191763722436554,0.006608346375092536,0.17096387672269825,0.0014419680511459896
0.8176994000334816,0.0021905269563636002,0.006604654469048541,0.17205425387458853,0.0014511646665179934
0.8166053747016744,0.0021892888099890916,0.0066009584823679066,0.17314402186198155,0.0014603561439874193
0.8155119698271688,0.0021880492795001106,0.006597258403883786,0.17423318001157226,0.0014695424778753813
0.8144191861058517,0.0021868083610670675,0.006593554222380945,0.17532172764821308,0.0014787236624874528
0.8133270242355417,0.002185566050843601,0.006589845926595476,0.17640966409490594,0.0014878996921135997
0.8122354849159971,0.002184322344966478,0.006586133505214512,0.1774969886727942,0.0014970705610281119
0.8111445688489248,0.0021830772395554938,0.006582416946875933,0.1785837007011546,0.0015062362634895353
0.8100542767379892,0.0021818307307133683,0.006578696240168083,0.17966979949738912,0.0015153967937406043
0.8089646092888203,0.002180582814525648,0.0065749713736294665,0.18075528437701685,0.0015245521460081715
0.8078755672090225,0.0021793334870605988,0.006571242335748462,0.1818401546536657,0.001533702314503139
0.8067871512081838,0.002178082744369105,0.006567509114963015,0.1829244096390642,0.001542847293420389
0.8056993619978837,0.002176830582484565,0.0065637716996603465,0.1840080486430331,0.0015519870769387127
0.8046122002917032,0.002175576997422786,0.0065600300781766445,0.18509107097347707,0.00156112165922074
0.8035256668052327,0.0021743219851818774,0.006556284238796763,0.18617347593637623,0.0015702510344128692
0.8024397622560815,0.0021730655417421425,0.006552534169753909,0.1872552628357777,0.0015793751966451948
0.8013544873638866,0.002171807663065975,0.006548779859229345,0.1883364309737871,0.0015884941400314356
